,name,region,subregion,votes,rating,length,lengthtype,gain,hpoint,fee,lat,long,trailhead1,trailhead2,author1,author2,countreports,Wildflowers/Meadows,Mountain views,Dogs allowed on leash,Established campsites,Waterfalls,Good for kids,Fall foliage,Ridges/passes,Wildlife,Old growth,Summits,Lakes,Rivers,Coast
2855,Mount Margaret Snowshoe,Snoqualmie Region,Snoqualmie Pass,2,3.00,9.0,roundtrip,2800,5200,,47.3706,-121.3581,Mount Mararet (#1332.1),"Okanogan - Wenatchee National Forest, Cle Elum Ranger District",,,33,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2856,Mount Angeles Snowshoe,Olympic Peninsula,Northern Coast,2,3.00,6.0,roundtrip,600,5900,,,,Olympic National Park,,,,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2857,Moore Point,Central Cascades,Entiat Mountains/Lake Chelan,4,3.75,,,,,,,,Moore Point (#1247.1),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2858,Mott Creek,Central Cascades,,3,3.00,,,,,,,,Mott Creek (#1422),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2859,Mount Pilchuck Snowshoe,North Cascades,Mountain Loop Highway,3,3.33,11.0,roundtrip,2600,4000,,48.0837,-121.7831,Mount Pilchuck (#700),Mt. Baker - Snoqualmie National Forest - Darrington District,,,59,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2860,Mount Constitution and Mountain Lake,Puget Sound and Islands,Orcas Island,20,4.30,6.7,roundtrip,1500,2410,Discover Pass,48.6569,-122.8180,Washington State Parks,,,,90,0,1,0,0,0,1,0,0,0,1,1,1,0,0
2861,Moraine Park-Mystic Lake,Mount Rainier Area,NW - Carbon River/Mowich,4,3.00,15.6,roundtrip,3650,6000,National Park Pass,46.9771,-121.8315,Mount Rainier National Park,,,,18,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2862,Milwaukee Railroad,Central Washington,Tri-Cities,4,1.75,10.0,roundtrip,,500,,,,Washington State Department of Natural Resources,,,,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2863,Mount Clifty Ridge,South Cascades,,4,2.75,,,,,,,,Mount Clifty Ridge (#1321.1),,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2864,Milton Mountain,North Cascades,,4,3.25,,,,,,,,Milton Mountain (#508),,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2865,Mount Hopper,Olympic Peninsula,Hood Canal,4,3.00,,,,,,,,Mount Hopper (#119),,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2866,Mineral Creek,Snoqualmie Region,Salmon La Sac/Teanaway,4,3.00,,,,,,47.4176,-121.2373,Mineral Creek (#1331),,,,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2867,Monument 83,North Cascades,,4,2.50,,,,,,,,Monument 83 (#454),,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2868,Middle Trail,South Cascades,,4,3.25,,,,,,,,Middle Trail (#26),,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2869,Milk Creek,South Cascades,,4,3.00,,,,,,,,Milk Creek (#965),,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2870,Military Road,Issaquah Alps,Cougar Mountain,4,2.75,,,,,,,,Military Road (#COUGAR-N2),,,,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2871,Martins Park,Olympic Peninsula,,4,3.00,,,,,,,,Martins Park (#71),,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2872,Meadow Loop Natures,Olympic Peninsula,Northern Coast,4,2.50,,,,,,,,Meadow Loop Natures (#77),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2873,Marten Lake,Snoqualmie Region,North Bend Area,4,3.00,8.8,roundtrip,2217,3000,Northwest Forest Pass,47.5597,-121.5328,Marten Lake (#1006),,,,66,0,0,0,0,1,0,0,0,0,0,0,1,1,0
2874,Middle Fork Little Naches River,South Cascades,,4,1.75,,,,,,,,Middle Fork Little Naches River (#945),,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2875,Meade Glacier,South Cascades,,4,2.00,,,,,,,,Meade Glacier (#1120),,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2876,Mesatchee Creek,Mount Rainier Area,Chinook Pass - Hwy 410,4,3.00,10.4,roundtrip,1300,5900,Northwest Forest Pass,46.9064,-121.4209,Mesatchee Creek (#969),"Okanogan and Wenatchee National Forests, Naches Ranger District",,,29,1,0,1,0,1,0,0,0,0,0,0,1,1,0
2877,McNary National Wildlife Refuge,Central Washington,Tri-Cities,4,2.00,2.0,roundtrip,,350,,,,U.S. Fish and Wildlife Service--McNary National Wildlife Refuge,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2878,Middle Fork Cascade River,North Cascades,North Cascades Highway - Hwy 20,5,2.20,,,,,,,,Middle Fork Cascade River (#767),,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2879,Meadow Creek,Central Cascades,Stevens Pass - West,6,3.83,,,,,,47.8274,-121.2076,Meadow Creek (#1057),"Mount Baker - Snoqualmie National Forest, Skykomish Ranger District",,,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2880,Massie Lake,Central Cascades,Entiat Mountains/Lake Chelan,5,2.20,,,,,,48.1224,-120.8823,Massie Lake (#1504),,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2881,Middle Falls,South Cascades,,4,3.00,,,,,,,,Middle Falls (#31.3),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2882,McCoy Peak,South Cascades,Dark Divide,5,3.20,8.4,roundtrip,3200,5856,Northwest Forest Pass,46.3332,-121.7936,McCoy Peak (#259.1),"Gifford-Pinchot National Forest, Cowlitz Valley Ranger District",,,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2883,Middle Fork Beaver Creek,North Cascades,,4,3.00,,,,,,,,Middle Fork Beaver Creek (#406),,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2884,McCall Gulch,North Cascades,,3,2.00,,,,,,,,McCall Gulch (#451.1),,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2885,Middle Service,South Cascades,,4,2.25,,,,,,,,Middle Service (#35),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2886,Mill Creek,North Cascades,Methow/Sawtooth,4,2.75,,,,,,,,Mill Creek (#755),,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2887,Middle Tommy,Central Cascades,,4,2.00,,,,,,,,Middle Tommy (#1424),"Okanogan-Wenatchee National Forest, Entiat Ranger District",,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2888,McAllister,South Cascades,,3,4.00,,,,,,,,McAllister (#1109),,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2889,Miller Creek Falls,South Cascades,,4,3.25,,,,,,48.7068,-120.9186,Miller Creek Falls (#31),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2890,Marten Creek Snowshoe,North Cascades,Mountain Loop Highway,4,2.50,7.5,roundtrip,1300,2800,,48.0719,-121.6067,Marten Creek (#713),"Mt. Baker-Snoqualmie National Forest, Darrington Ranger District",,,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2891,Middle Fork Nooksack River Snowshoe,North Cascades,Mount Baker Area,2,1.50,7.0,roundtrip,900,3000,,48.7462,-121.9467,Mt. Baker - Snoqualmie National Forest - Mt. Baker District,,,,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0
2892,Louise Lake,Mount Rainier Area,SE - Cayuse Pass/Steven's Canyon,5,2.80,2.0,roundtrip,300,4880,National Park Pass,46.7689,-121.7240,Longmire Wilderness Information Center,,,,11,0,0,0,0,0,1,0,1,0,0,0,1,0,0
2893,Lookout Ridge,North Cascades,Pasayten,4,3.00,,,,,,,,Lookout Ridge (#423),,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2894,Maggie Creek,South Cascades,,4,2.75,,,,,,,,Maggie Creek (#1186),,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2895,Mallardy Ridge Snowshoe,North Cascades,Mountain Loop Highway,2,3.00,10.0,roundtrip,1900,3500,,48.0654,-121.6323,Mallardy Ridge (#706),Mt. Baker - Snoqualmie National Forest - Darrington District,,,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2896,Lucky Pass,North Cascades,,3,3.00,,,,,,,,Lucky Pass (#571),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2897,Lookout Creek,South Cascades,,4,2.75,,,,,,,,Lookout Creek (#981.1),,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2898,Lower Wildcat Lake,Snoqualmie Region,Snoqualmie Pass,3,3.00,,,,,,47.3409,-120.5499,Lower Wildcat Lake (#1012),,,,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2899,Long John,South Cascades,,4,3.50,,,,,,,,Long John (#1142.1),,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2900,Lower Railroad Creek,Central Cascades,Entiat Mountains/Lake Chelan,4,3.50,,,,,,47.9869,-120.3108,Lower Railroad Creek (#1240),Okanogan-Wenatchee National Forest,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2901,Lone Peak,Central Cascades,,4,1.75,,,,,,,,Lone Peak (#1264),,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2902,Lone Tree Pass,Central Cascades,,3,2.33,,,,,,,,Lone Tree Pass (#653),,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2903,Madcat Meadow,South Cascades,,4,3.00,,,,,,,,Madcat Meadow (#12),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2904,Lunch Lake,Olympic Peninsula,Northern Coast,4,3.50,,,,,National Park Pass,47.9553,-123.8358,Olympic National Park,,,,6,1,1,0,1,0,0,0,0,0,0,0,1,0,0
2905,Ludden Peak,Olympic Peninsula,Northern Coast,5,3.80,,,,,,,,Ludden Peak (#68),,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2906,Lower Chiwawa ORV,Central Cascades,,4,3.00,,,,,,,,Lower Chiwawa ORV (#1548),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2907,Lower Eagle Lakes,Central Cascades,,4,1.50,,,,,,,,Lower Eagle Lakes (#431.2),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2908,Lost Beagle,Issaquah Alps,Cougar Mountain,4,2.25,,,,,,,,Lost Beagle (#COUGAR-N6),,,,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2909,Lucky Jim,North Cascades,,4,4.25,,,,,,,,Lucky Jim (#528.1),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2910,Mad Lake,Central Cascades,Entiat Mountains/Lake Chelan,3,3.67,,,,,,,,Mad Lake (#1406),,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2911,Lower Mill Creek,North Cascades,,4,3.25,,,,,,,,Lower Mill Creek (#755.3),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2912,Long View Peak,Issaquah Alps,Cougar Mountain,4,4.25,,,,,,,,Long View Peak (#COUGAR-S4),,,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2913,Louisiana Saddle,South Cascades,,4,2.00,,,,,,,,Louisiana Saddle (#945.1),,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2914,Whitepine Creek,Central Cascades,Stevens Pass - East,5,2.40,5.0,roundtrip,400,3200,Northwest Forest Pass,47.7706,-120.9272,Whitepine Creek (#1582),"Okanogan-Wenatchee Natiomal Forest, Wenatchee River Ranger District",,,31,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2915,Lower Maynard Burn,Olympic Peninsula,Hood Canal,4,3.00,,,,,,,,Lower Maynard Burn (#816.1),,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2916,Louie Trail,South Cascades,,4,2.25,,,,,,46.5702,-120.3113,Louie Trail (#1126),,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2917,Lodgepole Creek,North Cascades,,3,5.00,,,,,,,,Lodgepole Creek (#485.2),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2918,Little Wenatchee Gorge,Central Cascades,Stevens Pass - East,7,3.14,3.0,roundtrip,250,2500,,47.8749,-121.0148,Little Wenatchee River (#1525),"Okanogan-Wenatchee National Forest, Wenatchee River Ranger District",,,77,0,0,0,1,0,1,0,0,0,0,0,0,1,0
2919,Lorraine Ridge,Central Cascades,,4,2.75,,,,,,,,Lorraine Ridge (#1568),,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2920,Main Fork Dosewallips River,Olympic Peninsula,Hood Canal,7,4.71,,,,,,47.7378,-123.1764,Main Fork Dosewallips River (#98),,,,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2921,Longmire To Reflection Lakes,Mount Rainier Area,SW - Longmire/Paradise,5,2.20,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2922,Lost Pass Primitive,Olympic Peninsula,Hood Canal,3,2.33,,,,,,,,,,,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2923,Long Ridge,Olympic Peninsula,Northern Coast,4,2.75,,,,,,,,Long Ridge (#65),,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2924,Lower Sand Creek,South Cascades,,4,2.25,,,,,,,,Lower Sand Creek (#963.1),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2925,Langfield Falls,South Cascades,,5,3.60,,,,,,46.0990,-121.7201,Langfield Falls (#8),,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2926,Lily Basin Horse,South Cascades,,4,2.50,,,,,,,,Lilly Basin Horse (#86.1),,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2927,Lena Lake - Valley of Silent Men Snowshoe,Olympic Peninsula,,4,2.75,10.0,roundtrip,2000,2800,,47.6009,-123.1456,Olympic National Forest - Hood Canal Ranger District,,,,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2928,Lake Vicente,Snoqualmie Region,Salmon La Sac/Teanaway,4,3.00,,,,,,47.5430,-121.5511,Lake Vicente (#1365),"Okanogan-Wenatchee National Forest, Cle Elum Ranger District",,,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2929,Little Boulder,North Cascades,,3,3.67,,,,,,,,Little Boulder (#528.2),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2930,Leland Lake,Central Cascades,,5,1.60,,,,,,,,Leland Lake (#1566),,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2931,Little Bridge Creek,Central Cascades,,4,4.25,,,,,,,,Little Bridge Creek (#403),,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2932,Lewis Lake,North Cascades,North Cascades Highway - Hwy 20,5,3.40,,,,,,,,Lewis Lake (#731),,,,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2933,Lemah Meadow,Snoqualmie Region,,4,3.00,,,,,,47.4623,-121.2810,Lemah Meadow (#1323.2),,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2934,Little Salmon La Sac,Snoqualmie Region,Salmon La Sac/Teanaway,4,3.50,,,,,,,,Little Salmon La Sac (#1325),"Okanogan-Wenatchee National Forest, Cle Elum Ranger District",,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2935,Little Buck,South Cascades,,4,2.50,,,,,,,,Little Buck (#1147),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2936,Little Jack Mountain,North Cascades,,3,3.33,,,,,,46.7860,-113.8843,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2937,Little Creek Basin,South Cascades,,4,2.00,,,,,,,,Little Creek Basin (#1334),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2938,Little Beaver Creek,North Cascades,North Cascades Highway - Hwy 20,5,2.20,,,,,,,,,,,,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2939,Lightning Point,South Cascades,,4,3.50,,,,,,,,Lightning Point (#1377.2),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2940,Lesamiz,North Cascades,,4,1.75,,,,,,,,Lesamiz (#565),,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2941,Lease Creek,North Cascades,,4,2.25,,,,,,,,Lease Creek (#470),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2942,Lake Twentytwo / Lake 22 Snowshoe,North Cascades,Mountain Loop Highway,5,3.20,5.0,roundtrip,1200,2440,,48.0776,-121.7469,Lake 22 (#702),Mt. Baker - Snoqualmie National Forest - Darrington District,,,175,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2943,Little Kachess,Snoqualmie Region,,5,3.00,,,,,,47.3593,-121.2486,Little Kachess (#1312),,,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2944,Lightning Creek,North Cascades,,4,4.25,,,,,,,,Lightning Creek (#425),,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2945,Lake West,South Cascades,,4,3.00,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2946,Klone Peak,Central Cascades,,4,3.00,,,,,,,,Klone Peak (#1427),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2947,Kelley Creek,Central Cascades,Stevens Pass - West,4,3.25,,,,,,47.7323,-121.2079,,,,,21,1,1,0,0,0,0,0,0,0,1,0,1,0,0
2948,Lake Success,Olympic Peninsula,Olympia,4,2.50,,,,,,,,Lake Success (#118),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2949,Kindy Creek,North Cascades,,4,2.50,,,,,,48.4697,-121.2395,Kindy Creek (#766),,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2950,La Bohn Gap,Snoqualmie Region,,4,3.75,,,,,,,,,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2951,Kennedy Ridge,Central Cascades,,5,2.60,,,,,,,,Kennedy Ridge (#639),,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2952,Labyrinth Mountain,Central Cascades,Stevens Pass - East,5,3.00,,,,,,47.8279,-121.0303,,,,,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2953,Lake Michael,Snoqualmie Region,,4,3.50,,,,,,,,Lake Michael (#1336),,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2954,Lake Clarice,Central Cascades,,4,2.00,,,,,,47.5421,-121.0943,Lake Clarice (#1066),,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2955,Lake Kulla Kulla,Snoqualmie Region,,4,3.00,,,,,,47.4328,-121.5220,Lake Kulla Kulla (#1009),,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2956,Lake LaCrosse,Olympic Peninsula,Hood Canal,4,4.00,,,,,,,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2957,Lake Of The Pines,North Cascades,,4,4.25,,,,,,,,Lake Of The Pines (#491),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2958,Lake Creek,Central Cascades,,4,2.50,,,,,,47.9182,-121.0859,Lake Creek (#1443),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2959,Kettle Creek,South Cascades,,4,4.50,,,,,,46.9437,-121.3273,Kettle Creek (#957),,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2960,45 Mile Sheep Drive,Central Cascades,Entiat Mountains/Lake Chelan,5,4.00,,,,,,47.3847,-121.3894,45 Mile Sheep Drive (#1432),,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2961,Alaska Lake Snowshoe,Snoqualmie Region,Snoqualmie Pass,3,3.33,12.0,roundtrip,1600,4200,,47.4017,-121.3736,Alaska Lake (#1314),"Mount Baker-Snoqualmie National Forest, Mount Baker Ranger District",,,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2962,Abiel Pass,Snoqualmie Region,,5,2.40,9.0,roundtrip,3400,5600,,,,Abiel Pass (#1019.1),,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2963,Alder Ridge-Mad River Tie,Central Cascades,,5,2.80,,,,,,,,Alder Ridge-Mad River Tie (#1523),,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2964,Allen Mountain,South Cascades,White Pass/Cowlitz River Valley,6,4.00,,,,,,46.6564,-121.8434,Allen Mountain (#269),,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2965,Williams Lake,Snoqualmie Region,,4,2.25,,,,,,,,Williams Lake (#1030.1),,,,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2966,Palouse to Cascades Trail - Army East,Central Washington,Yakima,4,2.50,8.0,roundtrip,500,1500,Discover Pass,46.8437,-119.9644,Washington State Parks and Recreation,,,,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2967,Palouse to Cascades Trail - Thorp Trailhead,Snoqualmie Region,Cle Elum Area,4,3.00,,,,,,47.0652,-120.6794,John Wayne Pioneer Trail (#),Washington State Parks,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2968,Sheep Mountain,North Cascades,,4,4.50,,,,,,,,Sheep Mtn (#529),,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2969,Kid Creek,North Cascades,,4,3.00,,,,,,,,Kid Creek (#491.1),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2970,Lake Susan Jane Snowshoe,Central Cascades,Stevens Pass - West,3,3.67,7.0,roundtrip,1200,5200,,,,Mt. Baker - Snoqualmie National Forest - Skykomish District,,,,6,0,1,0,0,0,0,0,1,0,0,0,1,0,0
2971,Kloochman Rock,South Cascades,White Pass/Cowlitz River Valley,4,3.50,,,,,,46.6306,-121.0813,,,,,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2972,Lake James,Mount Rainier Area,NW - Carbon River/Mowich,5,3.00,,,,,,49.5723,-124.7320,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2973,LaCrosse Pass,Olympic Peninsula,Hood Canal,4,2.50,,,,,,,,LaCrosse Pass (#103),,,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2974,Lake Christine,South Cascades,,7,3.71,,,,,None,46.7746,-121.9479,Lake Christine (#249),"Gifford Pinchot National Forest, Cowlitz Valley Ranger District",,,38,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2975,Lake Evan,North Cascades,Mountain Loop Highway,4,3.25,,,,,,,,Lake Evan (#704),,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2976,Klahhane Ridge Snowshoe,Olympic Peninsula,Northern Coast,2,2.00,4.0,roundtrip,1500,6080,,47.9838,-123.4524,Olympic National Park,,,,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2977,Kelley Hollow,Central Washington,Yakima,4,3.75,12.0,roundtrip,2000,,Discover Pass,,,Washington Department of Fish and Wildlife,,,,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2978,Kennedy Hotsprings,Central Cascades,,5,3.40,,,,,,48.1549,-121.2662,Kennedy Hotsprings (#643),,,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2979,Lake Hazard,North Cascades,,4,2.50,,,,,,,,Lake Hazard (#488),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2980,Judkin Trail,South Cascades,,4,3.75,,,,,,,,Judkin Trail (#47),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2981,Jupiter Lakes,Olympic Peninsula,Hood Canal,4,3.50,,,,,,,,Jupiter Lakes (#801),,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2982,Jumpoff Joe Lookout,Central Washington,Yakima,4,4.00,,,,,,46.6216,-121.0625,Jumpoff (#1126),,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2983,Kachess Nature,Snoqualmie Region,Snoqualmie Pass,3,1.33,,,,,,,,Kachess Nature (#1395),,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2984,Jefferson Lake,Olympic Peninsula,Hood Canal,4,2.75,,,,,,47.6370,-123.1908,Jefferson Lake (#829),,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2985,Joker Mountain,North Cascades,,4,3.50,,,,,,,,Joker Mountain (#749.1),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2986,Keechelus Ridge Snowshoe,Snoqualmie Region,Snoqualmie Pass,4,1.50,6.4,roundtrip,2100,4900,None,47.3225,-121.3239,"Okanogan-Wenatchee National Forest, Cle Elum Ranger District",,,,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2987,Jimmy Creek,Central Cascades,,4,1.25,,,,,,,,Jimmy Creek (#1419),,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2988,Jungle Creek,Snoqualmie Region,Salmon La Sac/Teanaway,4,2.25,,,,,,47.3414,-120.9032,Jungle Creek (#1383.1),,,,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2989,Jolly Creek,Snoqualmie Region,,4,3.75,,,,,,,,Jolly Creek (#1355),,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2990,Jordan Creek,South Cascades,,4,2.75,,,,,,46.5077,-121.5806,Jordan Creek (#94),,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2991,Kaleetan Lake,Snoqualmie Region,North Bend Area,3,3.33,20.2,roundtrip,,4200,Northwest Forest Pass,47.3979,-121.4878,Kaleetan Lake (#1010),"Mt. Baker-Snoqualmie National Forest, Snoqualmie Ranger District",,,26,0,0,0,1,0,0,0,0,0,0,0,1,1,0
2992,Jack Ridge,Central Cascades,,4,2.75,,,,,,,,Jack Ridge (#1557),,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2993,Keenes Trail,South Cascades,,4,3.25,,,,,,,,Keenes Trail (#120),,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2994,John Muir Discovery,Mount Rainier Area,Chinook Pass - Hwy 410,3,3.33,,,,,,,,John Muir Discovery (#1204),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2995,Johnson Mountain,North Cascades,Mountain Loop Highway,5,4.60,,,,,,,,Johnson Mountain (#652.2),,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2996,Johnny Creek,North Cascades,,4,2.75,,,,,,,,Johnny Creek (#581),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2997,Island Lake,Olympic Peninsula,,4,2.75,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2998,Iron Mountain Snowshoe,North Cascades,Mountain Loop Highway,2,2.50,9.0,roundtrip,1800,4000,,48.4875,-121.7874,"Mt. Baker-Snoqualmie National Forest, Darrington District",,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2999,Jack Creek,Central Cascades,,4,4.25,,,,,,47.6060,-120.9185,Jack Creek (#1558),,,,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000,Keenen Meadow,South Cascades,,3,3.33,,,,,,,,Keenen Meadow (#1386),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3001,Kay Creek,North Cascades,,3,2.33,,,,,,,,Kay Creek (#564),,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3002,House Rock,South Cascades,,4,3.75,,,,,,,,House Rock (#6),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3003,Indian Flat,South Cascades,,4,2.75,,,,,,,,Indian Flat (#955),,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
